country,year_month,protest_count,protest_any,violence_count,violence_any,fatalities,protest_days,violence_any_t1,violence_count_t1,escalation,protest_count_t_1,protest_growth,recent_violence,year,protest_count_dm,protest_growth_dm,recent_violence_dm,protest_count_t_2,protest_acceleration,democracy_index,inflation,gdp_growth,unemployment,inflation_lag1,gdp_growth_lag1,unemployment_lag1,gini,escalation_transition,escalation_spike,gdp_growth_lag1_missing,inflation_lag1_missing,unemployment_lag1_missing,democracy_index_dm,protest_acceleration_dm,gdp_growth_lag1_dm,inflation_lag1_dm,unemployment_lag1_dm,risk,actual,risk_bin
Argentina,2024-01,150,1,5,1,0,28,1.0,6.0,1,134.0,16.0,1,2024,-37.448275862068954,14.672413793103448,0.0,120.0,2.0,6.51,219.883929014578,-1.34293072157739,7.15,133.488935594175,-1.85578803046339,6.139,42.4,0,0,0,0,0,-0.41689655172413786,3.2241379310344827,-2.199278239062805,83.46374376239872,-3.115396551724138,0.900378391793864,0,"(0.753, 0.988]"
Argentina,2024-02,120,1,6,1,0,22,1.0,4.0,1,150.0,-30.0,1,2024,-67.44827586206895,-31.32758620689655,0.0,134.0,-46.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,-44.775862068965516,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9854375730408984,0,"(0.753, 0.988]"
Argentina,2024-03,139,1,4,1,0,25,1.0,4.0,1,120.0,19.0,1,2024,-48.448275862068954,17.67241379310345,0.0,150.0,49.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,50.224137931034484,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9851120794911115,0,"(0.753, 0.988]"
Argentina,2024-04,118,1,4,1,0,23,1.0,16.0,1,139.0,-21.0,1,2024,-69.44827586206895,-22.32758620689655,0.0,120.0,-40.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,1,0,0,0,-0.41689655172413786,-38.775862068965516,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9857111719772697,1,"(0.753, 0.988]"
Argentina,2024-05,151,1,16,1,3,26,1.0,8.0,1,118.0,33.0,1,2024,-36.448275862068954,31.67241379310345,0.0,139.0,54.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,55.224137931034484,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9846558011711268,0,"(0.753, 0.988]"
Argentina,2024-06,97,1,8,1,0,25,1.0,9.0,1,151.0,-54.0,1,2024,-90.44827586206895,-55.327586206896555,0.0,118.0,-87.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,-85.77586206896552,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9863512856534998,0,"(0.753, 0.988]"
Argentina,2024-07,84,1,9,1,0,28,1.0,3.0,1,97.0,-13.0,1,2024,-103.44827586206895,-14.327586206896552,0.0,151.0,41.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,42.224137931034484,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9875471391328356,0,"(0.753, 0.988]"
Argentina,2024-08,86,1,3,1,0,27,1.0,9.0,1,84.0,2.0,1,2024,-101.44827586206895,0.6724137931034482,0.0,97.0,15.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,1,0,0,0,-0.41689655172413786,16.224137931034484,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.987721482708248,1,"(0.753, 0.988]"
Argentina,2024-09,94,1,9,1,0,23,1.0,16.0,1,86.0,8.0,1,2024,-93.44827586206895,6.672413793103448,0.0,84.0,6.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,1,0,0,0,-0.41689655172413786,7.224137931034482,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.98743297088657,1,"(0.753, 0.988]"
Argentina,2024-10,297,1,16,1,0,28,1.0,5.0,1,94.0,203.0,1,2024,109.55172413793105,201.67241379310346,0.0,86.0,195.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,196.22413793103448,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9776836093679158,0,"(0.753, 0.988]"
Argentina,2024-11,119,1,5,1,0,25,1.0,9.0,1,297.0,-178.0,1,2024,-68.44827586206895,-179.32758620689654,0.0,94.0,-381.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,1,0,0,0,-0.41689655172413786,-379.7758620689655,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9830375168892764,1,"(0.753, 0.988]"
Argentina,2024-12,83,1,9,1,0,27,1.0,4.0,1,119.0,-36.0,1,2024,-104.44827586206895,-37.327586206896555,0.0,297.0,142.0,6.51,219.883929014578,-1.34293072157739,7.15,219.883929014578,-1.34293072157739,7.15,42.4,0,0,0,0,0,-0.41689655172413786,143.22413793103448,-1.6864209301768052,169.85873718280175,-2.104396551724138,0.9870889720417473,0,"(0.753, 0.988]"
Bolivia,2024-01,157,1,19,1,2,26,1.0,10.0,1,52.0,105.0,1,2024,100.93103448275862,104.51724137931035,0.0,89.0,142.0,4.26,5.09976568317427,-1.12335595517212,3.274,2.57688800489192,2.51636590154891,3.024,,0,0,0,0,0,-0.6703448275862067,142.48275862068965,1.5066050176107306,1.086985837414916,-1.7668448275862074,0.4561334345436254,0,"(0.416, 0.478]"
Bolivia,2024-02,57,1,10,1,0,21,1.0,11.0,1,157.0,-100.0,1,2024,0.9310344827586192,-100.48275862068965,0.0,52.0,-205.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-204.51724137931035,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.5222989372252954,0,"(0.509, 0.525]"
Bolivia,2024-03,50,1,11,1,0,23,1.0,6.0,1,57.0,-7.0,1,2024,-6.068965517241381,-7.482758620689655,0.0,157.0,93.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,93.48275862068965,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.5519035668526244,0,"(0.546, 0.621]"
Bolivia,2024-04,99,1,6,1,0,26,1.0,16.0,1,50.0,49.0,1,2024,42.93103448275862,48.51724137931034,0.0,57.0,56.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,1,0,0,0,-0.6703448275862067,56.48275862068966,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.5218989282443692,1,"(0.509, 0.525]"
Bolivia,2024-05,124,1,16,1,7,27,1.0,12.0,1,99.0,25.0,1,2024,67.93103448275862,24.517241379310345,0.0,50.0,-24.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-23.517241379310345,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.49088907412872623,0,"(0.478, 0.492]"
Bolivia,2024-06,132,1,12,1,0,26,1.0,13.0,1,124.0,8.0,1,2024,75.93103448275862,7.517241379310345,0.0,99.0,-17.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-16.517241379310345,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.47707623042082886,0,"(0.416, 0.478]"
Bolivia,2024-07,113,1,13,1,2,24,1.0,11.0,1,132.0,-19.0,1,2024,56.93103448275862,-19.482758620689655,0.0,124.0,-27.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-26.517241379310345,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.4876664283997372,0,"(0.478, 0.492]"
Bolivia,2024-08,108,1,11,1,1,25,1.0,29.0,1,113.0,-5.0,1,2024,51.93103448275862,-5.482758620689655,0.0,132.0,14.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,1,0,0,0,-0.6703448275862067,14.482758620689655,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.4962319192515647,1,"(0.492, 0.509]"
Bolivia,2024-09,137,1,29,1,2,26,1.0,22.0,1,108.0,29.0,1,2024,80.93103448275862,28.517241379310345,0.0,113.0,34.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,34.48275862068966,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.4775775746509675,0,"(0.416, 0.478]"
Bolivia,2024-10,260,1,22,1,0,28,1.0,14.0,1,137.0,123.0,1,2024,203.9310344827586,122.51724137931035,0.0,108.0,94.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,94.48275862068965,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.3846935866495571,0,"(0.23, 0.416]"
Bolivia,2024-11,172,1,14,1,0,24,1.0,12.0,1,260.0,-88.0,1,2024,115.93103448275862,-88.48275862068965,0.0,137.0,-211.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-210.51724137931035,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.41122345536486016,0,"(0.23, 0.416]"
Bolivia,2024-12,57,1,12,1,0,21,1.0,10.0,1,172.0,-115.0,1,2024,0.9310344827586192,-115.48275862068965,0.0,260.0,-27.0,4.26,5.09976568317427,-1.12335595517212,3.274,5.09976568317427,-1.12335595517212,3.274,,0,0,0,0,0,-0.6703448275862067,-26.517241379310345,-2.1331168391102997,3.6098635156972656,-1.5168448275862074,0.5127701331539072,0,"(0.509, 0.525]"
